Data;Godzina;Generacja Zrodel wiatrowych;Generacja Zrodel fotowoltaicznych
17.11.2021;11;1207,188;519,188
17.11.2021;12;1243,238;608,975
17.11.2021;13;1386,563;504,775
17.11.2021;14;1573,838;394,775
17.11.2021;15;1687,288;248,838
17.11.2021;16;1857,663;63,563
17.11.2021;17;2080,25;2,675
17.11.2021;18;2372,063;0
17.11.2021;19;2622,413;0
17.11.2021;20;2803,9;0,013
17.11.2021;21;3031,275;0,038
17.11.2021;22;3362,9;0,038
17.11.2021;23;3646,9;0,1
17.11.2021;24;3678,613;0,1
18.11.2021;1;3722,213;0,088
18.11.2021;2;3751,288;0
18.11.2021;3;3760,188;0,025
18.11.2021;4;3936;0
18.11.2021;5;3906,975;0
18.11.2021;6;3901,45;0
18.11.2021;7;3978,475;0
18.11.2021;8;3968,475;27,825
18.11.2021;9;3983,9;158,813
18.11.2021;10;4029,513;397,663
18.11.2021;11;4106,413;648,775
18.11.2021;12;4161,7;782,388
18.11.2021;13;4302,575;700,763
18.11.2021;14;4429,263;506
18.11.2021;15;4354,525;280,15
18.11.2021;16;4232,15;100,588
18.11.2021;17;4380,438;8,45
18.11.2021;18;4778,45;0,1
18.11.2021;19;5158,725;0,1
18.11.2021;20;5490,063;0,1
18.11.2021;21;5751,213;0,1
18.11.2021;22;5917,2;0,1
18.11.2021;23;6006,925;0,1
18.11.2021;24;6018,688;0,1
19.11.2021;1;6055,713;0,1
19.11.2021;2;6050,575;0,1
19.11.2021;3;6018,488;0,1
19.11.2021;4;5927,425;0,05
19.11.2021;5;5867,588;0,038
19.11.2021;6;5748,125;0,088
19.11.2021;7;5679,05;0,063
19.11.2021;8;5606,05;14,05
19.11.2021;9;5553,575;60,275
19.11.2021;10;5655,95;156,1
19.11.2021;11;5776,825;255,55
19.11.2021;12;5858,1;287,575
19.11.2021;13;5958,675;294,438
19.11.2021;14;5992,813;213,375
19.11.2021;15;6099,725;117,45
19.11.2021;16;6227,063;38,15
19.11.2021;17;6286,438;1,35
19.11.2021;18;6301,663;0,088
19.11.2021;19;6288,313;0
19.11.2021;20;6257,788;0
19.11.2021;21;6322,538;0
19.11.2021;22;6302,85;0
19.11.2021;23;6319,238;0
19.11.2021;24;6371,6;0
20.11.2021;1;6382,95;0
20.11.2021;2;6342,863;0
20.11.2021;3;6285,05;0
20.11.2021;4;6230,575;0
20.11.2021;5;6076,438;0
20.11.2021;6;5797,363;0
20.11.2021;7;5515,175;0
20.11.2021;8;5168,1;35,4
20.11.2021;9;4820,425;180,325
20.11.2021;10;4768,8;580,875
20.11.2021;11;4851,163;820,663
20.11.2021;12;4978,875;818,025
20.11.2021;13;4848,888;766,65
20.11.2021;14;4816,65;568,038
20.11.2021;15;4861,288;268,913
20.11.2021;16;4856,763;75,488
20.11.2021;17;4939,975;2,825
20.11.2021;18;5066,575;0,038
20.11.2021;19;4985,013;0,038
20.11.2021;20;5005,45;0
20.11.2021;21;5085,7;0
20.11.2021;22;5126,988;0
20.11.2021;23;4999,813;0
20.11.2021;24;4973,788;0
21.11.2021;1;4913,775;0
21.11.2021;2;4875,038;0
21.11.2021;3;4766,375;0
21.11.2021;4;4953,988;0
21.11.2021;5;4833,588;0
21.11.2021;6;4815,325;0,013
21.11.2021;7;4698,375;0,013
21.11.2021;8;4676,15;34,9
21.11.2021;9;4597,263;115,85
21.11.2021;10;4312,763;241,188
21.11.2021;11;4139,263;556,013
21.11.2021;12;3869,825;765,613
21.11.2021;13;3425,813;708,4
21.11.2021;14;2872,213;614,838
21.11.2021;15;2290,2;380,225
21.11.2021;16;1765,263;106,288
21.11.2021;17;1416,813;4,963
21.11.2021;18;1290,288;0
21.11.2021;19;1216,775;0
21.11.2021;20;1110,738;0
21.11.2021;21;1078,263;0
21.11.2021;22;955,825;0
21.11.2021;23;908,675;0
21.11.2021;24;769,65;0
22.11.2021;1;688,8;0
22.11.2021;2;640,763;0
22.11.2021;3;662,125;0
22.11.2021;4;721,013;0
22.11.2021;5;812,325;0
22.11.2021;6;825,838;0
22.11.2021;7;826,413;0
22.11.2021;8;755,675;21,05
22.11.2021;9;712,275;132,625
22.11.2021;10;597,025;385,288
22.11.2021;11;517,613;598,975
22.11.2021;12;535,225;668,875
22.11.2021;13;654,738;713,625
22.11.2021;14;758,263;578,35
22.11.2021;15;815,05;342,388
22.11.2021;16;805,138;93,15
22.11.2021;17;839,188;5,025
22.11.2021;18;1005,525;0
22.11.2021;19;1145,65;0
22.11.2021;20;1107,963;0
22.11.2021;21;1286,05;0
22.11.2021;22;1657,45;0
22.11.2021;23;2105,288;0
22.11.2021;24;2507,313;0,05
23.11.2021;1;2959,45;0
23.11.2021;2;3285,738;0,013
23.11.2021;3;3501,85;0,1
23.11.2021;4;3787,775;0,1
23.11.2021;5;4041,513;0,088
23.11.2021;6;4032,925;0,075
23.11.2021;7;4026,4;0
23.11.2021;8;3965,125;23,6
23.11.2021;9;3697,688;164,713
23.11.2021;10;3358,463;478,638
23.11.2021;11;3001,35;666,75
23.11.2021;12;2642,913;713,225
23.11.2021;13;2381,975;697,875
23.11.2021;14;2138,813;573,2
23.11.2021;15;1826,65;315,6
23.11.2021;16;1737,513;86,75
23.11.2021;17;1701,338;3,025
23.11.2021;18;1619,025;0
23.11.2021;19;1588,263;0
23.11.2021;20;1654,238;0,025
23.11.2021;21;1804,088;0,038
23.11.2021;22;1949,525;0,075
23.11.2021;23;2096,413;0,1
23.11.2021;24;2064,225;0,1
24.11.2021;1;2235,138;0,088
24.11.2021;2;2401,85;0
24.11.2021;3;2462,663;0
24.11.2021;4;2575,563;0,013
24.11.2021;5;2629,025;0,038
24.11.2021;6;2582,025;0
24.11.2021;7;2604,2;0
24.11.2021;8;2487,625;16,063
24.11.2021;9;2371,875;104,463
24.11.2021;10;2158,425;251,525
24.11.2021;11;1980,25;436,838
24.11.2021;12;1848;589,95
24.11.2021;13;1645,575;516,45
24.11.2021;14;1574,3;504,725
24.11.2021;15;1462,125;288,163
24.11.2021;16;1479,213;76,175
24.11.2021;17;1574,238;4,2
24.11.2021;18;1674,313;0
24.11.2021;19;1665,825;0,013
24.11.2021;20;1563,513;0,05
24.11.2021;21;1489,438;0,013
24.11.2021;22;1416,375;0
24.11.2021;23;1321,3;0
24.11.2021;24;1330,825;0
25.11.2021;1;1359,013;0
25.11.2021;2;1329,738;0
25.11.2021;3;1378,988;0
25.11.2021;4;1420,2;0
25.11.2021;5;1519,088;0
25.11.2021;6;1610,15;0
25.11.2021;7;1777,225;0
25.11.2021;8;2031,05;34,388
25.11.2021;9;2050,063;230,588
25.11.2021;10;1937,363;633,925
25.11.2021;11;1928,638;908,5
25.11.2021;12;1914,3;938,325
25.11.2021;13;1879,913;965,738
